time_tag,actual_flux,arima_forecast
2026-06-05 00:00:00,1.08735339949817e-06,1.179757935596581e-06
2026-06-05 01:00:00,9.402903543787033e-07,1.179754630411376e-06
2026-06-05 02:00:00,1.186906259439032e-06,1.1797546833822719e-06
2026-06-05 03:00:00,9.52240082104557e-07,1.1797546825333282e-06
2026-06-05 04:00:00,9.935738300252221e-07,1.1797546825469339e-06
2026-06-05 05:00:00,9.93830680802906e-07,1.1797546825467158e-06
2026-06-05 06:00:00,9.542981710334666e-07,1.1797546825467194e-06
2026-06-05 07:00:00,8.796227613553735e-07,1.1797546825467194e-06
2026-06-05 08:00:00,9.443139485180533e-07,1.1797546825467194e-06
2026-06-05 09:00:00,9.436669084076736e-07,1.1797546825467194e-06
2026-06-05 10:00:00,1.0942963948915955e-06,1.1797546825467194e-06
2026-06-05 11:00:00,1.1932046599364791e-06,1.1797546825467194e-06
2026-06-05 12:00:00,1.2116954546096774e-06,1.1797546825467194e-06
2026-06-05 13:00:00,1.2485286807380664e-06,1.1797546825467194e-06
2026-06-05 14:00:00,1.1377447454682018e-06,1.1797546825467194e-06
2026-06-05 15:00:00,1.942041599060455e-06,1.1797546825467194e-06
2026-06-05 16:00:00,9.856239349422443e-07,1.1797546825467194e-06
2026-06-05 17:00:00,9.970515852349612e-07,1.1797546825467194e-06
2026-06-05 18:00:00,1.8640809855696716e-06,1.1797546825467194e-06
2026-06-05 19:00:00,1.8905082602789966e-06,1.1797546825467194e-06
2026-06-05 20:00:00,1.1101443040691568e-06,1.1797546825467194e-06
2026-06-05 21:00:00,1.200088015214836e-06,1.1797546825467194e-06
2026-06-05 22:00:00,2.5553876412232055e-06,1.1797546825467194e-06
2026-06-05 23:00:00,1.8702588799139146e-06,1.1797546825467194e-06
2026-06-06 00:00:00,1.1500711044239627e-06,1.1797546825467194e-06
2026-06-06 01:00:00,1.260741326329177e-06,1.1797546825467194e-06
2026-06-06 02:00:00,1.1890639636173242e-06,1.1797546825467194e-06
2026-06-06 03:00:00,1.04366450367858e-06,1.1797546825467194e-06
2026-06-06 04:00:00,1.6429367614515893e-06,1.1797546825467194e-06
2026-06-06 05:00:00,1.401127720631242e-06,1.1797546825467194e-06
2026-06-06 06:00:00,1.585761509659278e-06,1.1797546825467194e-06
2026-06-06 07:00:00,1.4046627465328736e-06,1.1797546825467194e-06
2026-06-06 08:00:00,1.1852032192412784e-06,1.1797546825467194e-06
2026-06-06 09:00:00,9.847096557345273e-07,1.1797546825467194e-06
